Time,air_temp_10 ---> air_temp_9,air_temp_9 ---> air_temp_8,air_temp_8 ---> air_temp_7,air_temp_7 ---> air_temp_6,air_temp_6 ---> air_temp_5,air_temp_5 ---> air_temp_4,air_temp_4 ---> air_temp_3,air_temp_3 ---> air_temp_2
2020-11-22 05:00:16,2.769191601043107e-07,6.291262998485729e-07,7.840052583006537e-07,3.396744479852992e-07,1.233008856291533e-07,6.102236963372116e-06,-1.9543553155257478e-07,2.824845128203503e-07
2020-11-22 06:00:16,2.801703394199451e-07,6.302782422390663e-07,7.805072873853175e-07,3.344989887444562e-07,1.26389350616071e-07,6.415878949615936e-06,-2.3505013887297783e-07,3.0434147454044216e-07
2020-11-22 07:00:16,2.8313012469297697e-07,6.301872009631794e-07,7.834094442215776e-07,3.340246849845487e-07,1.2905997991490813e-07,6.741273992928564e-06,-2.8211059533973143e-07,3.2353179383929433e-07
2020-11-22 08:00:16,2.8510542662901807e-07,6.270614971854698e-07,7.883251336305078e-07,3.379961955231056e-07,1.3165876753945038e-07,7.01015689957994e-06,-3.383652070567551e-07,3.404298926239693e-07
2020-11-22 09:00:16,2.868179507802779e-07,6.208633542291227e-07,7.906212325584034e-07,3.4538970560722007e-07,1.3449992894553443e-07,7.273007662604238e-06,-4.0644630864384927e-07,3.5418349323438596e-07
2020-11-22 10:00:16,2.8922136507603827e-07,6.128561552532958e-07,7.888682453538813e-07,3.5480062981266504e-07,1.3792434355511134e-07,7.558397039271561e-06,-4.907678064133628e-07,3.6395242498126377e-07
2020-11-22 11:00:16,2.9154163295741576e-07,6.029548313107646e-07,7.83646709494648e-07,3.644242772661473e-07,1.420174099446019e-07,7.855755602479889e-06,-5.947588741872761e-07,3.696763326301977e-07
2020-11-22 12:00:16,2.9532156979820526e-07,5.916408080117699e-07,7.74750732680812e-07,3.729850140865048e-07,1.4691418576225445e-07,8.227314471325742e-06,-7.252398412719482e-07,3.7307411608921956e-07
2020-11-22 13:00:16,3.01152742114674e-07,5.819984188098944e-07,7.669123661988953e-07,3.7949870095138187e-07,1.525337096176013e-07,8.653904009013243e-06,-8.880079817825761e-07,3.728074725746291e-07
2020-11-22 14:00:16,3.090135564911151e-07,5.758632018009342e-07,7.611408064752536e-07,3.8346828994851725e-07,1.5900397030920867e-07,9.139662242590618e-06,-1.0932663090568963e-06,3.712165584449435e-07
2020-11-22 15:00:16,3.163462132115129e-07,5.741840308899916e-07,7.604789920778962e-07,3.861181214642576e-07,1.6629327194411822e-07,9.740895792049858e-06,-1.3589340376418362e-06,3.6965747420366773e-07
2020-11-22 16:00:16,3.2065080244791097e-07,5.728583148546732e-07,7.655659966448509e-07,3.8905888259529823e-07,1.7446818865372956e-07,1.0516991800279856e-05,-1.717694875295271e-06,3.687764973879042e-07
2020-11-22 17:00:16,3.225760154530292e-07,5.677107881856055e-07,7.714053018371682e-07,3.930487937107701e-07,1.8344112025985154e-07,1.1360568766832493e-05,-2.2144357855507735e-06,3.693396811947235e-07
2020-11-22 18:00:16,3.220338940168314e-07,5.579609311411835e-07,7.731740802003625e-07,3.966597561414665e-07,1.9315006036891028e-07,1.2312522675888837e-05,-2.9408665036084765e-06,3.7299878820076594e-07
2020-11-22 19:00:16,3.2138307580931046e-07,5.441467336871234e-07,7.687803452852119e-07,3.978257870849515e-07,2.0311015951804373e-07,1.340736276206059e-05,-4.136313215909873e-06,3.800798737090708e-07
2020-11-22 20:00:16,3.2418160980974994e-07,5.308092345083066e-07,7.593098762561745e-07,3.954309726786807e-07,2.1242795835126799e-07,1.4516692063145889e-05,-6.421161529923878e-06,3.9112649553498127e-07
2020-11-22 21:00:16,3.3027936336327717e-07,5.202524264986211e-07,7.486998219607007e-07,3.9041644140664927e-07,2.1990367415355735e-07,1.565840646098369e-05,-1.290727600164e-05,4.075271432259119e-07
2020-11-22 22:00:16,3.3923804993671624e-07,5.137587666931218e-07,7.403353580058587e-07,3.847889264828858e-07,2.2432207082830466e-07,1.663873325252543e-05,-0.00016729595659272978,4.2887943376247796e-07
2020-11-22 23:00:16,3.517764192681449e-07,5.119796918461297e-07,7.367603710678991e-07,3.7995458805377413e-07,2.2542712686425692e-07,1.7402032432708812e-05,1.6053923984017824e-05,4.573352910900632e-07
2020-11-23 00:00:16,3.6592999891146784e-07,5.151158762486774e-07,7.405940465266796e-07,3.7811172614582864e-07,2.2361965836143083e-07,1.788562113281529e-05,7.671288095598432e-06,4.90502468634431e-07
2020-11-23 01:00:16,3.7874838055985667e-07,5.203700168130626e-07,7.520647154589847e-07,3.803965401302064e-07,2.199936769349408e-07,1.813745378072419e-05,4.9823590479339505e-06,5.299347385916402e-07
2020-11-23 02:00:16,3.90528830519484e-07,5.257691624812144e-07,7.68415111033804e-07,3.8699344102685236e-07,2.1602727716065815e-07,1.816550425998858e-05,3.6275355580783417e-06,5.762612696006572e-07
2020-11-23 03:00:16,4.006004337274264e-07,5.304405829918711e-07,7.882539745649432e-07,3.9707206591718683e-07,2.1308725109782952e-07,1.8099114908459813e-05,2.7962017310584042e-06,6.31807091684237e-07
2020-11-23 04:00:16,4.0854384536640734e-07,5.337534086007933e-07,8.093038610763673e-07,4.095845296716575e-07,2.1222716928214238e-07,1.803570506942143e-05,2.225306225698992e-06,7.002309701830259e-07
2020-11-23 05:00:16,4.1352727301600583e-07,5.343279646032384e-07,8.296341057056022e-07,4.2375009248765935e-07,2.1400212973030784e-07,1.8066452195404737e-05,1.8175886921133138e-06,7.937106943462015e-07
2020-11-23 06:00:16,4.1544978351111237e-07,5.317491265659564e-07,8.468372787271371e-07,4.383688785722211e-07,2.1882927883261055e-07,1.8177769990013165e-05,1.5123424744785438e-06,9.362688146977539e-07
2020-11-23 07:00:16,4.156122322879508e-07,5.260796494000347e-07,8.590361619249172e-07,4.5177127812314303e-07,2.2637811832034592e-07,1.8718355318419543e-05,1.284680700953176e-06,1.164689840469818e-06
2020-11-23 08:00:16,4.151011734733088e-07,5.189907329284014e-07,8.655470984072141e-07,4.626832078291773e-07,2.3594592343465223e-07,1.9677189261105853e-05,1.1192333033086412e-06,1.6369303610373873e-06
