DATETIME,TA,RH,VW,ISWR,RSWR,ILWR,TSS,PSUM,HS,TSG
,C,%,M/S,W/M2,W/M2,W/M2,C,MM,MM,C
2020-10-06T19:00:00,21.39,27.28,0.57,729.1,53.98,255.6,20.05,425.704,80.01,13.31
2020-10-06T20:00:00,21.02,27.41,0.8,759.8,58.39,258.3,22.37,426.212,164.084,14.94
2020-10-06T21:00:00,22.12,26.1,0.92,726.8,75.45,258,29.15,426.212,36.068,20.58
2020-10-06T22:00:00,21.46,26.76,1.22,634.8,68.14,256.1,29.18,426.72,165.1,23.17
2020-10-06T23:00:00,20.97,28.75,0.88,474,42.36,253.1,22.97,426.72,86.106,21.34
2020-10-07T00:00:00,19.2,29.01,0.88,182.8,17.34,248.3,15.49,426.72,102.108,18.66
2020-10-07T01:00:00,17.29,31.85,0.79,38.61,10.78,243.1,11.72,426.72,108.966,15.39
2020-10-07T02:00:00,15.25,27.07,0.64,0,4.18,237.4,8.03,426.72,164.084,12.87
2020-10-07T03:00:00,15.34,20.19,0.88,0,4.88,236.3,6.21,426.72,166.116,10.65
2020-10-07T04:00:00,15.52,23.66,0.77,0.22,4.61,241.2,5.81,426.466,166.878,9.36
2020-10-07T05:00:00,14.94,23.09,0.83,0,4.13,237.7,5.18,426.212,161.036,8.6
2020-10-07T06:00:00,14.38,23,0.75,0,4.4,235.1,4.43,425.958,154.94,7.85
2020-10-07T07:00:00,14.16,22.96,0.7,0.42,4.47,234,4.02,425.704,155.956,7.21
2020-10-07T08:00:00,14.01,25.78,0.81,0,4.29,235,3.78,425.704,161.036,6.75
2020-10-07T09:00:00,13.3,29.02,0.7,0,3.88,234.5,3.42,425.45,162.052,6.36
2020-10-07T10:00:00,12.93,30.32,0.68,0.07,4.21,234.3,3.18,425.45,157.988,5.99
2020-10-07T11:00:00,12.51,32.06,0.7,0,0,232.6,3.02,425.196,155.956,5.71
2020-10-07T12:00:00,12.71,31.06,0.7,0,0,232.6,2.88,425.196,159.004,5.45
